title,subtitle,url,month,year,description,keywords,tags,wip,award,award2,award3,comments,imgUrl,type
The sky as a canvas,the artistry and science of drone shows,https://multimedia.scmp.com/infographics/news/world/article/3292066/drone-shows/,12,2024,,,visual story,,,,,"with <a href=""https://www.scmp.com/infographic/"" target=""_blank"" rel=""noopener noreferrer"">South China Morning Post</a>",/imgs/bg-19.jpg,portfolio
Urban Paradise,Procedural Generation and React Three Fiber,https://yizhe-ang.github.io/urban-paradise/,8,2024,,,webgl,,,,,,/imgs/bg-17.png,sketches
Watercolor Painting,Transformers.js and React Three Fiber,https://yizhe-ang.github.io/watercolor-painting/,8,2024,,,webgl,,,,,,/imgs/bg-18.png,sketches
The Interactive Transformer,A visual interface for understanding and interpreting Transformers,https://github.com/yizhe-ang/interactive-transformer,,,,,"AI, explorable",TRUE,,,,,/imgs/bg-14.png,sketches
Color Palettes from Images,Particles and React Three Fiber,https://yizhe-ang.github.io/image-color-palette/,1,2024,,,webgl,,,,,,/imgs/bg-16.png,sketches
Everton Road,Gaussian Splatting and React Three Fiber,https://yizhe-ang.github.io/everton-road-sg/,12,2023,,,webgl,,,,,,/imgs/bg-15.png,sketches
The Matrix Arcade,A Visual Explorable of Matrix Transformations,https://yizhe-ang.github.io/matrix-explorable/,8,2023,,,"data science, explorable",,"<b>Honorable Mention</b> in 3Blue1Brown's <a href=""https://youtu.be/6a1fLEToyvU?si=aiQzWOBkJPHByHqi&t=349"" target=""_blank"" rel=""noopener noreferrer"">SoME3</a>","<b>Honorable Mention</b> in <a href=""https://pudding.cool/pudding-cup/"" target=""_blank"" rel=""noopener noreferrer"">The Pudding Cup '23</a>","Accepted to <a href=""https://visxai.io/"" target=""_blank"" rel=""noopener noreferrer"">VISxAI '24</a>",,/imgs/bg-13.png,portfolio
K-Means Clustering,An Explorable Explainer,https://k-means-explorable.vercel.app/,7,2022,An Explorable Explainer of K-Means Clustering,"k-means, clustering, unsupervised, machine learning, explorable, explainer, interactive, ai, visualization, tutorial","data science, explorable",,"Awarded <b>Silver</b> in <a href=""https://www.informationisbeautifulawards.com/showcase/5767-k-means-clustering-an-explorable-explainer"" target=""_blank"" rel=""noopener noreferrer"">IIB Awards '22</a>","<b>Winner</b> of <a href=""https://pudding.cool/pudding-cup/"" target=""_blank"" rel=""noopener noreferrer"">The Pudding Cup '22</a>","Awarded <b>Best Submmision</b> in <a href=""https://visxai.io/"" target=""_blank"" rel=""noopener noreferrer"">VISxAI '22</a>",,/imgs/bg-7.png,portfolio
Sleepless in Singapore?,,https://www.straitstimes.com/multimedia/graphics/2023/03/singapore-getting-hotter-temperature-data/index.html,3,2023,,,data story,,"<b>Gold</b> at the <a href=""https://wan-ifra.org/2024/04/digital-media-awards-asia-2024-sph-media-emerge-as-the-biggest-winner/"" target=""_blank"" rel=""noopener noreferrer"">Digital Media Awards Asia '24</a>","<b>Bronze</b> at <a href=""https://airtable.com/app90oaiea9w9Ifs0/shrqS5E9H6RczquMx/tblTVjYfVaL7icVKX/viwSu3r015awz5qWK/recq0oe3qVTkzG0mt?backgroundColor=gray&viewControls=on"" target=""_blank"" rel=""noopener noreferrer"">SND '24</a>",,"with <a href=""https://www.straitstimes.com/multimedia/graphics"" target=""_blank"" rel=""noopener noreferrer"">The Straits Times</a>",/imgs/bg-11.png,portfolio
Photos & Colors in Space,Three.js,https://yizhe-ang.github.io/color-photo-viz/,1,2023,,,data viz,,,,,,/imgs/bg-12.png,sketches
Visualizing Images at Scale with Instancing,Three.js,https://github.com/yizhe-ang/threejs-instancing-images,1,2023,,,data viz,,,,,,/imgs/bg-10.png,sketches
Climate Spiral,Three.js,https://www.sveltecharts.com/charts/1cb92d30-c6ea-4947-8994-b21d2aac5d9d,10,2022,,,data viz,,,,,,/imgs/bg-9.png,sketches
Painting Attention,How Asphalt Art Makes Roads Safer,https://mokshadata.studio/projects/asphalt-art/,10,2022,,,data story,,,,,"with <a href=""https://mokshadata.studio/"" target=""_blank"" rel=""noopener noreferrer"">Moksha Data Studio</a>",/imgs/bg-8.png,portfolio
Reaching for Venus,Exploring Female Representation in Parliaments around the World and Singapore,https://parliament-represent-vis.vercel.app/,,,,,data story,TRUE,,,,,/imgs/bg-6.png,portfolio
Global Trade Network,Interactives,https://trade-network-vis.vercel.app/,3,2022,,,data viz,,,,,,/imgs/bg-5.png,sketches
Linear Regression,Interactives,https://observablehq.com/@yizhe-ang/interactive-visualization-of-linear-regression,10,2021,,,data science,,,,,,/imgs/bg-4.png,sketches
Defenders of Old,Exploring the most decorated players of Dota 2,https://yizhe-ang.github.io/defenders-of-old/,8,2018,,,data story,,,,,,/imgs/bg-3.jpeg,portfolio
the Metagame,Figuring out what IceFrog is up to,https://yizhe-ang.github.io/meta-game/,10,2017,,,data story,,,,,,/imgs/bg-2.png,portfolio
Hold your zebras,Visualizing the Base Rate Fallacy,https://yizhe-ang.github.io/hold-your-zebras/,9,2017,,,explorable,,,,,,/imgs/bg-1.png,portfolio
